CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
4,AFG,Afghanistan,LDC,46.8,,49.4,,34.1,56.1,,"3,999",50.9,51.2,,8,67.1,,11.7,23.4,,44.2,,0,0,,91.9,91.9,,4.4,15.5,,2.6,69.4,,37.5,,52.8,,57.7,71.1,,33.1,38.8,,620.4,48.5,,22.2,,31.3,23.6,r1,37.3,16.4,,0.6,26.7,t1,437,
12,DZA,Algeria,ODC,25.2,,19.3,,13.4,21,,"2,306",7.4,0,,7.1,51.5,,2.3,4.7,,31.1,,1.2,3.6,,94.7,94.7,,6.1,24.7,,0.1,1.6,,86.4,,91.5,,21.8,92.9,,8.6,87.8,,77.7,93.9,,81.2,,71.7,68.5,,81.4,75.2,,1.4,100,,"3,735",
24,AGO,Angola,LDC,38.5,,43.7,,11.7,18.2,,"6,377",60.1,62.7,,9,82.9,,5.6,11.2,,33.2,,1.5,4.4,,59.4,59.4,,9,40.5,,0.3,28.4,,55.2,,55.1,,66.9,65.5,,43.6,17.8,,221.9,81.8,,55.2,,36.5,29.4,,72.4,63.2,,0.8,73.1,,"2,027",
28,ATG,Antigua and Barbuda,ODC,36.4,,44.2,,2.2,2.1,,"5,452",52,52.5,,9.5,92.3,,14.9,29.9,,28.6,,12.2,34.8,,0,0,,6.6,27.4,,1,52.3,,97,,96,,9.5,100,,7.8,89.3,o1,21.2,98.6,,98,,113.4,100,r2,98.9,98.6,s1,1,95.5,t2,"16,463",
32,ARG,Argentina,ODC,27.1,,33.4,,8.1,12,,"9,623",81.5,89.3,,5.7,28.3,,2,4.1,,20.8,,1,2.9,,32.4,32.4,,5.6,21.9,,0.2,25.9,,92.4,,94.2,,9.4,100,,9.5,86,,44.9,96.7,,90.5,,75.7,73,,99,98.7,s2,1.1,100,,"10,324",
51,ARM,Armenia,ODC,36.7,,30.3,,12.1,18.8,,"2,903",34.3,30.4,,6.8,46.1,,13,25.9,,43.1,,0,0,,84.1,84.1,,7,29.9,,1.4,58.4,,97.6,,96.2,,10.3,99.8,,7.2,90.6,,27.2,98.1,,99.1,,97.8,97.5,,99.8,99.7,,1,100,,"5,186",
31,AZE,Azerbaijan,ODC,28.4,,31.4,,6.3,8.9,,"3,166",38.8,36,,7.9,64.3,,8.2,16.4,,25.5,,0,0,,88.7,88.7,,2.9,7.3,,0.1,5.9,,91.6,,90.2,,18.1,95.1,,13.3,78.4,,40.8,97,,93,,85.2,83.5,r3,99.8,99.7,,1,95.7,t3,"5,074",
44,BHS,Bahamas,ODC,27.6,,31.4,,0.7,0,,"5,430",51.8,52.2,,7.3,54.9,,9.3,18.6,,23.7,,12.9,36.7,,0.4,0.4,,4,13.7,,0.6,44.1,,93.3,,93.7,,12.9,98.2,,8,89,o1,77.1,94,,92.8,,88.9,87.7,r4,95.6,94.1,s3,1,96.6,t4,"27,819",
48,BHR,Bahrain,ODC,36.2,,22.9,,0.3,0,,"3,946",35.2,31.5,,5.9,31.6,,14.2,28.3,,49.5,,33,94.2,,0,0,,11.5,53.8,,0.9,50.1,,97.8,,98,,6.5,100,,5,95,,15.9,99.1,,97.6,,99.2,99.1,r3,97.5,96.6,s4,1,97.2,t3,"25,049",
50,BGD,Bangladesh,LDC,21.9,,22.2,,12.1,18.8,,"4,067",36.8,33.5,,5.9,31,,2.7,5.5,,21.7,,8.4,23.9,,0,0,,2.8,7.1,,1.2,55.6,,77.5,,77,,28.8,88.6,,26.4,52.2,,123,90.1,,78.1,,70.9,67.6,,74.9,66.5,,1.3,100,,"2,684",
52,BRB,Barbados,ODC,18.3,,25.5,,1.9,1.6,,"5,691",54.2,55.3,,5.7,29,,8.2,16.3,,11,,2.2,6.3,,0,0,,5.2,20.2,,0.1,17.6,,98.1,,96.5,,10.9,99.5,,6,93,,39.1,97.1,,99.6,,99.3,99.2,r5,99.6,99.5,s5,1,100,t5,"17,777",
84,BLZ,Belize,ODC,43.1,,37.5,,9.4,14.2,,"6,578",61.7,64.7,,7.2,52.5,,9.4,18.8,,48.6,,33.9,96.7,,0,0,,4.9,18.2,,4.6,79.3,,80.1,,90,,10.9,99.4,,12,81,,129.8,89.6,,70.1,,40,33.3,,82.8,77,s6,1.4,100,,"5,941",
204,BEN,Benin,LDC,34.2,,39.8,,30.2,49.6,,"5,005",47.6,47,,7.1,51.5,,5.6,11.3,,28.6,,7.3,20.7,,9.7,9.7,,6.3,25.7,,1.4,58.2,,48.6,,52.7,,80.8,57.1,,30.4,44.2,,522.6,56.7,,44.6,,43.7,37.5,,47.1,29.5,,0.8,66.9,,"1,316",
64,BTN,Bhutan,ODC,31.2,,41.1,,15.8,25,,"3,934",50.1,50.1,,8.3,71.9,,8.7,17.3,,21.3,,0,0,,0.3,0.3,,11.6,54.7,,0.3,30.1,,79.4,,82.2,,23.7,91.7,,22.7,59.6,,59.9,95.4,,76.6,,70.3,67,r6,72.1,62.8,,1,100,t6,"3,311",
